"jointType","x","y","z","time"
7,-0.222573668,-0.5069908,2.02209544,15
8,0.11713285,-0.08632803,2.18913937,15
9,0.155141756,-0.289781868,2.120171,15
10,0.2030588,-0.3443131,1.94013572,15
11,0.209503457,-0.361401379,1.86708236,15
12,-0.0887501,-0.483051032,2.07538486,15
13,-0.022857355,-0.7941263,2.01024032,15
14,-0.0373348519,-1.07226181,2.02963853,15
15,0.0176754072,-1.10808563,1.95213759,15
16,0.0399678722,-0.479536921,2.07354,15
17,-0.009668797,-0.80169034,2.0086062,15
18,0.0130560156,-1.06491625,2.00449324,15
19,-0.0352346376,-1.12512183,1.97122729,15
20,-0.0236978214,-0.02759352,2.22776914,15
21,-0.212169215,-0.5644232,1.990813,15
22,-0.1810163,-0.5059717,2.00723052,15
23,0.226373374,-0.372068048,1.82589173,15
24,0.241051063,-0.36197114,1.84469235,15
0,-0.0351588726,-0.487079769,2.09932852,16
1,-0.0358545035,-0.22181949,2.17567062,16
2,-0.037486665,0.03701135,2.23921061,16
3,-0.0226469785,0.165725574,2.269149,16
4,-0.180531234,-0.0818136856,2.21864724,16
5,-0.224103525,-0.3117962,2.17551541,16
6,-0.2402355,-0.474337548,2.07828879,16
7,-0.231100827,-0.52433145,2.0396626,16
8,0.11621964,-0.08482608,2.1863153,16
9,0.169190958,-0.2802694,2.09467387,16
10,0.148696288,-0.3761205,1.92735934,16
11,0.135935187,-0.394398659,1.86051929,16
12,-0.09850361,-0.481859922,2.06933331,16
13,-0.0258577578,-0.802205861,2.00583673,16
14,-0.0364074,-1.091399,2.02665973,16
15,0.01871809,-1.12084174,1.94367933,16
16,0.0291411337,-0.477516085,2.06578445,16
17,-0.0121883387,-0.7983998,2.003728,16
18,0.0116585875,-1.06820977,2.00266719,16
19,-0.0150154037,-1.128867,1.93496215,16
20,-0.037005432,-0.0269164145,2.225513,16
21,-0.2273853,-0.5855991,2.01385522,16
22,-0.192555383,-0.5393811,2.02625,16
23,0.135751322,-0.408050835,1.82027185,16
24,0.170480758,-0.3893561,1.84416652,16
0,-0.03277221,-0.488815725,2.10412383,17
1,-0.0358589478,-0.223769665,2.18158,17
2,-0.0391288027,0.0346358679,2.24684525,17
3,-0.025005104,0.163130477,2.282873,17
4,-0.180162,-0.083882235,2.21936679,17
5,-0.219624355,-0.313873857,2.172923,17
6,-0.235206112,-0.476288527,2.074221,17
7,-0.222236782,-0.5253437,2.038538,17
8,0.113300711,-0.08565998,2.19414973,17
9,0.169442341,-0.280074418,2.1026206,17
10,0.168680415,-0.373920053,1.932259,17
11,0.160872921,-0.389209121,1.86417186,17
12,-0.09660504,-0.484061569,2.074562,17
13,-0.025867423,-0.8035224,2.01000357,17
14,-0.0394547246,-1.07912755,2.03740573,17
15,0.0210164934,-1.10711026,1.95853019,17
16,0.032041952,-0.4790405,2.07071137,17
17,-0.0116324686,-0.800490856,2.00627017,17
18,0.0122914966,-1.06792223,2.00539923,17
19,-0.0296840351,-1.13189507,1.98383045,17
20,-0.03828959,-0.0291753635,2.23268962,17
21,-0.216544762,-0.5883933,2.01085544,17
22,-0.195673287,-0.517032146,2.00880766,17
23,0.166770816,-0.40415448,1.82344925,17
24,0.197356075,-0.3899413,1.84856129,17
0,-0.0321120061,-0.4914397,2.127817,18
1,-0.0414063819,-0.221895128,2.19601274,18
2,-0.0508095,0.04232188,2.25364661,18
3,-0.0245655533,0.166074961,2.283621,18
4,-0.183700889,-0.0814074054,2.21404862,18
5,-0.226682574,-0.313100636,2.19174075,18
6,-0.23975262,-0.480375469,2.10150933,18
7,-0.231451079,-0.5267288,2.06182027,18
8,0.106433213,-0.08823248,2.21654582,18
9,0.15756844,-0.2825696,2.13860917,18
10,0.171909332,-0.377140045,1.96904576,18
11,0.1770879,-0.389754772,1.90957034,18
12,-0.0973630846,-0.485136449,2.09156942,18
13,-0.0385533,-0.8057789,2.02864146,18
14,-0.0362335667,-1.07838774,2.04297948,18
15,0.022582747,-1.11713457,1.97305429,18
16,0.0339812376,-0.4836577,2.10178828,18
17,-0.0126343733,-0.8005807,2.01911855,18
18,0.0117410254,-1.07161117,2.01016,18
19,-0.0105273109,-1.12981617,1.93540967,18
20,-0.04818388,-0.02314592,2.24165034,18
21,-0.216958031,-0.595846236,2.03635669,18
22,-0.201493144,-0.5285355,2.04820466,18
23,0.186981976,-0.407088757,1.8700006,18
24,0.2127167,-0.39673686,1.89035416,18
0,-0.0371693373,-0.4924605,2.10736346,19
1,-0.0547663122,-0.218620464,2.17378068,19
2,-0.07180419,0.0484980345,2.22720242,19
3,-0.0296544936,0.167024389,2.26037288,19
4,-0.1945501,-0.07498669,2.171951,19
5,-0.2513669,-0.305303216,2.14165926,19
6,-0.2527063,-0.470956445,2.04691124,19
7,-0.2439746,-0.520806849,2.00471425,19
8,0.09004057,-0.09535574,2.21662521,19
9,0.121290848,-0.287389338,2.14418817,19
10,0.168311924,-0.368771374,1.97365582,19
11,0.177605659,-0.389273942,1.90706384,19
12,-0.101359144,-0.4817598,2.06177521,19
13,-0.04692588,-0.7758605,2.01110768,19
14,-0.0349832848,-1.07770741,2.034563,19
15,0.0126671121,-1.12032831,1.956569,19
16,0.0281385966,-0.488164246,2.0894053,19
17,-0.0141950287,-0.800961733,2.0028646,19
18,0.0124504212,-1.06623483,2.004863,19
19,-0.01829067,-1.13551068,1.97458112,19
20,-0.06764532,-0.017452566,2.21606255,19
21,-0.230816424,-0.583550632,1.97788322,19
22,-0.206861526,-0.526250958,1.98767471,19
23,0.190831721,-0.4044802,1.86449778,19
24,0.206167459,-0.38337183,1.88755,19
0,-0.0131103862,-0.479722053,2.0692482,20
1,-0.0110903978,-0.2090405,2.13471842,20
2,-0.008374861,0.0547593758,2.187491,20
3,0.0321193039,0.1773871,2.199844,20
4,-0.147050336,-0.0649707243,2.151898,20
5,-0.205263048,-0.293171942,2.126859,20
6,-0.2232199,-0.458005428,2.03223634,20
7,-0.212574884,-0.5093866,2.00269151,20
8,0.142588958,-0.08137292,2.15583372,20
9,0.169586763,-0.28268683,2.079301,20
10,0.211907029,-0.356708616,1.90393317,20
11,0.2205896,-0.373990953,1.83033669,20
12,-0.07857314,-0.4690486,2.0325,20
13,-0.0218074135,-0.786478639,1.99175334,20
14,-0.0360796973,-1.09005857,2.03002477,20
15,0.01998483,-1.11913061,1.9473263,20
16,0.05284219,-0.475756019,2.04184747,20
17,-0.00553102,-0.789132655,1.99183547,20
18,0.0223741867,-1.054826,1.99683976,20
19,-0.0191431642,-1.1195662,1.96735382,20
20,-0.009097794,-0.0103475265,2.17648816,20
21,-0.209303975,-0.5733173,1.97790658,20
22,-0.1854856,-0.5069303,1.97038651,20
23,0.232703984,-0.387839139,1.79077578,20
24,0.2533576,-0.4069636,1.81125,20
0,0.0223953053,-0.472509742,2.0599494,21
1,0.0365365781,-0.208321333,2.12915659,21
2,0.0507076047,0.0487554334,2.18618083,21
3,0.08580723,0.172906712,2.194959,21
4,-0.0887667,-0.07227505,2.16029048,21
5,-0.144737616,-0.295707047,2.13970256,21
6,-0.168673992,-0.458826452,2.04308844,21
7,-0.159683183,-0.505930662,2.00412464,21
8,0.1952055,-0.08845816,2.15003133,21
9,0.22516498,-0.284968585,2.083451,21
10,0.263403445,-0.36614278,1.910449,21
11,0.2775048,-0.3820265,1.84630346,21
12,-0.04471942,-0.4594465,2.03206873,21
13,-0.05171314,-0.734884262,1.89647484,21
14,-0.06230251,-1.039145,1.98422515,21
15,-0.03233572,-1.10828912,1.94413567,21
16,0.08916664,-0.4709627,2.02390242,21
